"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 22 15:53:20 MSK 2021","Tue Jun 22 15:53:26 MSK 2021","6404","","ru.heatalways.chucknorrisfunfacts.tests.RandomJokeScreenTest","","RandomJokeScreenTest","testCategorySelection","RandomJokeScreenTest.testCategorySelection",""
"passed","Tue Jun 22 15:53:27 MSK 2021","Tue Jun 22 15:53:57 MSK 2021","29732","","ru.heatalways.chucknorrisfunfacts.tests.SearchJokeScreenTest","","SearchJokeScreenTest","testSearchView","SearchJokeScreenTest.testSearchView",""
